recommendation1,recommendation2,recommendation3
663,1946,1631
952,1061,1006
391,734,179
782,28,750
781,28,235
578,868,1289
1383,339,937
1814,213,130
572,484,772
356,804,628
247,1843,921
99,1763,1515
469,873,968
907,864,873
659,922,1261
1497,1369,1947
1089,562,1645
2006,310,147
1595,763,1075
1408,222,759
1311,1440,751
943,111,1595
737,879,155
1956,1947,1252
621,576,84
1960,469,1366
910,1802,632
1700,200,821
896,107,135
628,875,735
875,1803,561
1376,166,1421
1228,653,866
4,200,1700
527,1087,1394
742,1913,466
546,111,1370
700,911,421
875,1061,1166
1075,300,671
822,504,1421
593,1532,1893
970,1383,536
1205,273,1902
200,1654,687
627,1068,1061
823,924,923
1709,1905,1204
988,199,1335
597,1391,1484
828,712,1057
828,712,1057
1955,1323,200
1088,1070,132
1289,1494,804
1006,1214,628
1456,628,525
1079,907,529
189,1125,135
1802,637,1706
890,1446,756
919,1358,1020
262,687,620
421,965,888
628,473,1242
913,1676,200
1657,1725,553
1847,1041,480
943,111,360
864,873,790
1528,849,738
584,1611,1264
1326,1031,961
659,1134,1246
735,839,628
132,1070,907
628,697,639
628,1084,865
928,927,1127
380,858,1454
380,541,547
220,1287,968
546,525,1043
968,469,222
1852,1814,660
873,1385,1657
689,791,627
1061,779,1456
293,944,910
1630,1062,1063
1219,92,200
814,57,525
359,1958,1655
536,566,452
1068,1052,1960
469,262,790
1133,907,1061
627,1913,735
389,345,1398
1943,1205,524
223,804,292
234,687,773
36,743,806
132,831,968
1965,1927,722
504,1421,1727
220,1163,130
1580,2003,1310
555,283,1
26,1949,1493
841,964,562
105,171,165
1532,12,755
135,378,1654
200,913,504
576,501,1362
890,1207,1532
700,765,1610
806,545,220
182,262,1272
1879,508,111
154,1128,737
1879,558,107
843,913,72
1748,1825,1965
452,536,1131
700,200,1782
1108,508,1911
872,508,1556
791,1061,873
1068,1913,1066
1256,700,1030
804,866,947
1006,929,930
992,1431,527
200,1261,1986
1830,493,627
919,929,930
621,546,1539
1590,926,925
927,928,86
839,915,1167
1656,223,1587
247,788,1520
31,200,1054
924,1254,1082
924,1254,1082
925,951,965
925,951,965
928,1127,918
928,1127,918
929,680,228
929,680,228
546,219,525
570,1871,1786
663,494,508
155,1783,1928
1786,525,816
711,1326,709
624,121,1654
1822,508,905
663,1456,1789
1520,1027,1950
1284,1280,1642
481,1376,489
111,57,508
866,951,1282
954,955,949
1078,1337,1538
1263,910,632
443,951,1893
953,1377,955
82,2085,382
926,925,1282
779,1376,929
953,1377,955
954,955,949
411,945,954
956,411,382
411,1589,1480
956,411,382
489,191,1843
1678,1371,1681
